defect_id,section_id,department,defect_type,severity,status,overdue_days,priority_score,explanation
DEF0121,SEC005,S&T,Signal aspect failure,Major,Resolved,0,84.2,"Defect DEF0121 (S&T - SEC005) scored 84.2/100 priority because: severity is Major (+7.1 pts), located on a high-traffic section (134 trains/day, +4.5 pts), available maintenance window is tight (114 mins, +7.4 pts), and heavy 7-day freight forecast (248 trains, +2.1 pts)."
DEF0150,SEC004,TRD,Insulator damage,Critical,Scheduled,0,84.1,"Defect DEF0150 (TRD - SEC004) scored 84.1/100 priority because: severity is Critical (+28.1 pts), and moderate section traffic (73 trains/day, -4.6 pts)."
DEF0032,SEC003,Engineering,Track geometry deviation,Critical,Scheduled,0,83.6,"Defect DEF0032 (Engineering - SEC003) scored 83.6/100 priority because: severity is Critical (+27.2 pts), moderate section traffic (74 trains/day, -4.5 pts), and ample maintenance window available (170 mins, -2.0 pts)."
DEF0001,SEC005,TRD,Traction pole tilt,Major,Open,0,82.3,"Defect DEF0001 (TRD - SEC005) scored 82.3/100 priority because: severity is Major (+7.3 pts), located on a high-traffic section (134 trains/day, +4.3 pts), and available maintenance window is tight (114 mins, +7.0 pts)."
DEF0034,SEC002,TRD,Booster transformer issue,Minor,Overdue,9,82.2,"Defect DEF0034 (TRD - SEC002) scored 82.2/100 priority because: severity is only Minor (-13.0 pts), overdue by 9 days (+14.8 pts), located on a high-traffic section (120 trains/day, +3.6 pts), and available maintenance window is tight (107 mins, +9.1 pts)."
DEF0101,SEC004,TRD,OHE wire wear,Critical,Scheduled,0,82.1,"Defect DEF0101 (TRD - SEC004) scored 82.1/100 priority because: severity is Critical (+27.3 pts), moderate section traffic (73 trains/day, -5.1 pts), and ample maintenance window available (171 mins, -2.5 pts)."
DEF0137,SEC005,S&T,Track circuit failure,Minor,Overdue,8,81.1,"Defect DEF0137 (S&T - SEC005) scored 81.1/100 priority because: severity is only Minor (-12.7 pts), overdue by 8 days (+12.7 pts), located on a high-traffic section (134 trains/day, +4.2 pts), and available maintenance window is tight (114 mins, +9.9 pts)."
DEF0074,SEC010,Engineering,Track geometry deviation,Critical,Open,0,81.0,"Defect DEF0074 (Engineering - SEC010) scored 81.0/100 priority because: severity is Critical (+29.1 pts), moderate section traffic (50 trains/day, -7.6 pts), and ample maintenance window available (193 mins, -2.5 pts)."
DEF0154,SEC005,S&T,Point machine malfunction,Minor,Overdue,13,80.9,"Defect DEF0154 (S&T - SEC005) scored 80.9/100 priority because: severity is only Minor (-12.8 pts), overdue by 13 days (+14.7 pts), located on a high-traffic section (134 trains/day, +4.0 pts), and available maintenance window is tight (114 mins, +9.2 pts)."
DEF0005,SEC004,Engineering,Worn out rail,Major,Overdue,8,80.6,"Defect DEF0005 (Engineering - SEC004) scored 80.6/100 priority because: severity is Major (+7.6 pts), overdue by 8 days (+15.1 pts), moderate section traffic (73 trains/day, -2.6 pts), and ample maintenance window available (171 mins, -2.6 pts)."
DEF0144,SEC001,S&T,Level crossing gate fault,Critical,Open,0,80.3,"Defect DEF0144 (S&T - SEC001) scored 80.3/100 priority because: severity is Critical (+26.6 pts), moderate section traffic (76 trains/day, -4.0 pts), and ample maintenance window available (168 mins, -2.1 pts)."
DEF0016,SEC002,Engineering,Loose fittings,Major,Open,0,79.1,"Defect DEF0016 (Engineering - SEC002) scored 79.1/100 priority because: severity is Major (+8.2 pts), located on a high-traffic section (120 trains/day, +3.4 pts), and available maintenance window is tight (127 mins, +4.6 pts)."
DEF0002,SEC010,Engineering,Rail fracture,Major,Overdue,8,78.7,"Defect DEF0002 (Engineering - SEC010) scored 78.7/100 priority because: severity is Major (+8.6 pts), overdue by 8 days (+16.4 pts), moderate section traffic (50 trains/day, -5.8 pts), and ample maintenance window available (193 mins, -2.7 pts)."
DEF0153,SEC006,S&T,Point machine malfunction,Major,Open,0,76.8,"Defect DEF0153 (S&T - SEC006) scored 76.8/100 priority because: severity is Major (+4.7 pts), located on a high-traffic section (142 trains/day, +5.8 pts), and available maintenance window is tight (106 mins, +7.6 pts)."
DEF0124,SEC010,Engineering,Rail fracture,Critical,Open,0,76.0,"Defect DEF0124 (Engineering - SEC010) scored 76.0/100 priority because: severity is Critical (+27.6 pts), moderate section traffic (50 trains/day, -9.1 pts), and ample maintenance window available (193 mins, -2.5 pts)."
DEF0151,SEC008,S&T,Axle counter fault,Major,Open,0,75.9,"Defect DEF0151 (S&T - SEC008) scored 75.9/100 priority because: severity is Major (+8.2 pts), and located on a high-traffic section (113 trains/day, +3.0 pts)."
DEF0165,SEC006,Engineering,Cracked fish plate,Minor,Overdue,11,75.9,"Defect DEF0165 (Engineering - SEC006) scored 75.9/100 priority because: severity is only Minor (-12.8 pts), overdue by 11 days (+13.4 pts), located on a high-traffic section (142 trains/day, +4.1 pts), and available maintenance window is tight (106 mins, +9.3 pts)."
DEF0148,SEC002,Engineering,Track geometry deviation,Major,Resolved,0,75.2,"Defect DEF0148 (Engineering - SEC002) scored 75.2/100 priority because: severity is Major (+7.1 pts), located on a high-traffic section (120 trains/day, +3.5 pts), and available maintenance window is tight (127 mins, +3.6 pts)."
DEF0090,SEC004,TRD,Insulator damage,Major,Overdue,3,75.1,"Defect DEF0090 (TRD - SEC004) scored 75.1/100 priority because: severity is Major (+8.0 pts), overdue by 3 days (+9.4 pts), moderate section traffic (73 trains/day, -2.7 pts), and ample maintenance window available (171 mins, -3.2 pts)."
DEF0167,SEC005,TRD,Insulator damage,Major,Resolved,0,73.8,"Defect DEF0167 (TRD - SEC005) scored 73.8/100 priority because: severity is Major (+4.9 pts), located on a high-traffic section (134 trains/day, +4.8 pts), and available maintenance window is tight (114 mins, +7.0 pts)."
DEF0015,SEC008,S&T,Point machine malfunction,Major,Scheduled,0,73.3,"Defect DEF0015 (S&T - SEC008) scored 73.3/100 priority because: severity is Major (+7.7 pts), and located on a high-traffic section (113 trains/day, +2.9 pts)."
DEF0038,SEC008,S&T,Axle counter fault,Major,Open,0,72.6,"Defect DEF0038 (S&T - SEC008) scored 72.6/100 priority because: severity is Major (+7.3 pts), and located on a high-traffic section (113 trains/day, +2.9 pts)."
DEF0161,SEC002,Engineering,Worn out rail,Major,Open,0,70.9,"Defect DEF0161 (Engineering - SEC002) scored 70.9/100 priority because: severity is Major (+6.7 pts), located on a high-traffic section (120 trains/day, +3.9 pts), and available maintenance window is tight (127 mins, +3.6 pts)."
DEF0025,SEC007,S&T,Track circuit failure,Major,Open,0,70.7,"Defect DEF0025 (S&T - SEC007) scored 70.7/100 priority because: severity is Major (+8.4 pts), ample maintenance window available (155 mins, -2.9 pts), and heavy 7-day freight forecast (148 trains, +2.3 pts)."
DEF0054,SEC007,S&T,Signal aspect failure,Major,Resolved,0,70.1,"Defect DEF0054 (S&T - SEC007) scored 70.1/100 priority because: severity is Major (+7.8 pts), and ample maintenance window available (155 mins, -2.9 pts)."
DEF0077,SEC011,TRD,OHE wire wear,Major,Open,0,69.8,"Defect DEF0077 (TRD - SEC011) scored 69.8/100 priority because: severity is Major (+7.4 pts), and ample maintenance window available (152 mins, -3.1 pts)."
DEF0177,SEC006,TRD,Feeder cable fault,Minor,Overdue,4,69.7,"Defect DEF0177 (TRD - SEC006) scored 69.7/100 priority because: severity is only Minor (-14.0 pts), overdue by 4 days (+6.9 pts), located on a high-traffic section (142 trains/day, +4.9 pts), and available maintenance window is tight (90 mins, +10.4 pts)."
DEF0019,SEC007,S&T,Track circuit failure,Major,Open,0,69.6,"Defect DEF0019 (S&T - SEC007) scored 69.6/100 priority because: severity is Major (+8.0 pts), and ample maintenance window available (155 mins, -3.0 pts)."
DEF0076,SEC007,TRD,OHE wire wear,Major,Open,0,69.3,"Defect DEF0076 (TRD - SEC007) scored 69.3/100 priority because: severity is Major (+7.9 pts), and ample maintenance window available (155 mins, -3.0 pts)."
DEF0114,SEC007,S&T,Level crossing gate fault,Major,Resolved,0,68.9,"Defect DEF0114 (S&T - SEC007) scored 68.9/100 priority because: severity is Major (+7.9 pts), and ample maintenance window available (155 mins, -3.1 pts)."
DEF0048,SEC007,TRD,Insulator damage,Major,Scheduled,0,68.1,"Defect DEF0048 (TRD - SEC007) scored 68.1/100 priority because: severity is Major (+7.7 pts), and ample maintenance window available (155 mins, -3.0 pts)."
DEF0029,SEC009,Engineering,Loose fittings,Minor,Open,0,67.7,"Defect DEF0029 (Engineering - SEC009) scored 67.7/100 priority because: severity is only Minor (-14.5 pts), located on a high-traffic section (151 trains/day, +6.6 pts), available maintenance window is tight (98 mins, +10.1 pts), and heavy 7-day freight forecast (293 trains, +2.4 pts)."
DEF0080,SEC011,Engineering,Track geometry deviation,Major,Resolved,0,65.8,"Defect DEF0080 (Engineering - SEC011) scored 65.8/100 priority because: severity is Major (+6.9 pts), and ample maintenance window available (152 mins, -3.4 pts)."
DEF0109,SEC011,Engineering,Worn out rail,Major,Open,0,65.4,"Defect DEF0109 (Engineering - SEC011) scored 65.4/100 priority because: severity is Major (+6.7 pts), and ample maintenance window available (152 mins, -3.4 pts)."
DEF0070,SEC006,Engineering,Ballast deficiency,Minor,Open,0,65.3,"Defect DEF0070 (Engineering - SEC006) scored 65.3/100 priority because: severity is only Minor (-15.3 pts), located on a high-traffic section (142 trains/day, +6.3 pts), available maintenance window is tight (106 mins, +9.6 pts), and heavy 7-day freight forecast (278 trains, +2.4 pts)."
DEF0171,SEC003,S&T,Point machine malfunction,Minor,Overdue,14,64.8,"Defect DEF0171 (S&T - SEC003) scored 64.8/100 priority because: severity is only Minor (-14.6 pts), overdue by 14 days (+22.5 pts), and ample maintenance window available (170 mins, -3.1 pts)."
DEF0008,SEC006,S&T,Point machine malfunction,Minor,Resolved,0,64.5,"Defect DEF0008 (S&T - SEC006) scored 64.5/100 priority because: severity is only Minor (-14.4 pts), located on a high-traffic section (142 trains/day, +6.2 pts), available maintenance window is tight (106 mins, +9.4 pts), and heavy 7-day freight forecast (257 trains, +2.0 pts)."
DEF0068,SEC001,S&T,Level crossing gate fault,Major,Open,0,64.4,"Defect DEF0068 (S&T - SEC001) scored 64.4/100 priority because: severity is Major (+7.4 pts), and ample maintenance window available (168 mins, -3.4 pts)."
DEF0010,SEC009,S&T,Track circuit failure,Minor,Resolved,0,64.3,"Defect DEF0010 (S&T - SEC009) scored 64.3/100 priority because: severity is only Minor (-14.5 pts), located on a high-traffic section (151 trains/day, +6.2 pts), available maintenance window is tight (98 mins, +9.4 pts), and heavy 7-day freight forecast (270 trains, +2.1 pts)."
DEF0173,SEC012,S&T,Interlocking fault,Major,Scheduled,0,64.3,"Defect DEF0173 (S&T - SEC012) scored 64.3/100 priority because: severity is Major (+7.8 pts), and ample maintenance window available (153 mins, -2.4 pts)."
DEF0105,SEC004,Engineering,Track geometry deviation,Major,Resolved,0,64.0,"Defect DEF0105 (Engineering - SEC004) scored 64.0/100 priority because: severity is Major (+8.1 pts), moderate section traffic (73 trains/day, -2.8 pts), and ample maintenance window available (171 mins, -3.7 pts)."
DEF0012,SEC004,Engineering,Rail fracture,Major,Scheduled,0,64.0,"Defect DEF0012 (Engineering - SEC004) scored 64.0/100 priority because: severity is Major (+7.9 pts), moderate section traffic (73 trains/day, -2.8 pts), and ample maintenance window available (171 mins, -3.5 pts)."
DEF0102,SEC001,S&T,Signal aspect failure,Major,Open,0,63.9,"Defect DEF0102 (S&T - SEC001) scored 63.9/100 priority because: severity is Major (+7.5 pts), and ample maintenance window available (168 mins, -3.4 pts)."
DEF0127,SEC009,Engineering,Loose fittings,Minor,Open,0,63.9,"Defect DEF0127 (Engineering - SEC009) scored 63.9/100 priority because: severity is only Minor (-14.9 pts), located on a high-traffic section (151 trains/day, +5.8 pts), available maintenance window is tight (98 mins, +9.2 pts), and heavy 7-day freight forecast (225 trains, +2.0 pts)."
DEF0021,SEC001,TRD,Insulator damage,Major,Scheduled,0,63.8,"Defect DEF0021 (TRD - SEC001) scored 63.8/100 priority because: severity is Major (+7.2 pts), and ample maintenance window available (168 mins, -3.2 pts)."
DEF0078,SEC009,TRD,Insulator damage,Minor,Open,0,63.8,"Defect DEF0078 (TRD - SEC009) scored 63.8/100 priority because: severity is only Minor (-15.5 pts), located on a high-traffic section (151 trains/day, +6.1 pts), available maintenance window is tight (98 mins, +9.3 pts), and heavy 7-day freight forecast (285 trains, +2.3 pts)."
DEF0120,SEC009,Engineering,Track geometry deviation,Minor,Resolved,0,63.7,"Defect DEF0120 (Engineering - SEC009) scored 63.7/100 priority because: severity is only Minor (-15.0 pts), located on a high-traffic section (151 trains/day, +5.9 pts), and available maintenance window is tight (98 mins, +9.3 pts)."
DEF0017,SEC009,Engineering,Ballast deficiency,Minor,Resolved,0,63.2,"Defect DEF0017 (Engineering - SEC009) scored 63.2/100 priority because: severity is only Minor (-15.1 pts), located on a high-traffic section (151 trains/day, +6.1 pts), available maintenance window is tight (98 mins, +9.1 pts), and heavy 7-day freight forecast (279 trains, +2.4 pts)."
DEF0063,SEC004,TRD,Feeder cable fault,Major,Open,0,63.2,"Defect DEF0063 (TRD - SEC004) scored 63.2/100 priority because: severity is Major (+8.0 pts), moderate section traffic (73 trains/day, -2.7 pts), and ample maintenance window available (171 mins, -3.8 pts)."
DEF0071,SEC004,Engineering,Rail fracture,Major,Resolved,0,62.7,"Defect DEF0071 (Engineering - SEC004) scored 62.7/100 priority because: severity is Major (+7.9 pts), moderate section traffic (73 trains/day, -2.7 pts), and ample maintenance window available (171 mins, -3.9 pts)."
DEF0061,SEC003,S&T,Level crossing gate fault,Major,Open,0,62.4,"Defect DEF0061 (S&T - SEC003) scored 62.4/100 priority because: severity is Major (+7.8 pts), moderate section traffic (74 trains/day, -2.5 pts), and ample maintenance window available (170 mins, -3.6 pts)."
DEF0009,SEC004,Engineering,Loose fittings,Major,Open,0,61.9,"Defect DEF0009 (Engineering - SEC004) scored 61.9/100 priority because: severity is Major (+7.8 pts), moderate section traffic (73 trains/day, -2.8 pts), and ample maintenance window available (171 mins, -3.7 pts)."
DEF0094,SEC008,S&T,Point machine malfunction,Minor,Overdue,12,61.9,"Defect DEF0094 (S&T - SEC008) scored 61.9/100 priority because: severity is only Minor (-17.1 pts), overdue by 12 days (+13.3 pts), located on a high-traffic section (113 trains/day, +2.2 pts), and ample maintenance window available (134 mins, -2.9 pts)."
DEF0108,SEC003,Engineering,Track geometry deviation,Minor,Overdue,9,61.9,"Defect DEF0108 (Engineering - SEC003) scored 61.9/100 priority because: severity is only Minor (-14.9 pts), overdue by 9 days (+17.9 pts), moderate section traffic (74 trains/day, -2.2 pts), and ample maintenance window available (170 mins, -3.7 pts)."
DEF0145,SEC002,S&T,Signal aspect failure,Minor,Open,0,61.6,"Defect DEF0145 (S&T - SEC002) scored 61.6/100 priority because: severity is only Minor (-14.9 pts), located on a high-traffic section (120 trains/day, +3.7 pts), and available maintenance window is tight (63 mins, +9.6 pts)."
DEF0116,SEC005,TRD,Insulator damage,Minor,Scheduled,0,61.5,"Defect DEF0116 (TRD - SEC005) scored 61.5/100 priority because: severity is only Minor (-15.2 pts), located on a high-traffic section (134 trains/day, +4.4 pts), and available maintenance window is tight (114 mins, +8.4 pts)."
DEF0047,SEC001,Engineering,Track geometry deviation,Major,Scheduled,0,61.4,"Defect DEF0047 (Engineering - SEC001) scored 61.4/100 priority because: severity is Major (+7.1 pts), moderate section traffic (76 trains/day, -2.1 pts), and ample maintenance window available (168 mins, -3.6 pts)."
DEF0166,SEC004,Engineering,Ballast deficiency,Major,Resolved,0,61.3,"Defect DEF0166 (Engineering - SEC004) scored 61.3/100 priority because: severity is Major (+8.3 pts), moderate section traffic (73 trains/day, -2.5 pts), and ample maintenance window available (145 mins, -2.6 pts)."
DEF0096,SEC005,TRD,Booster transformer issue,Minor,Open,0,61.2,"Defect DEF0096 (TRD - SEC005) scored 61.2/100 priority because: severity is only Minor (-15.4 pts), located on a high-traffic section (134 trains/day, +4.4 pts), and available maintenance window is tight (96 mins, +8.6 pts)."
