asset_id,section_id,division,km_point,department,asset_type,install_date,last_inspection_date
AST0053,SEC007,Lucknow,25.7,S&T,Point Machine,2008-01-28,2026-08-07
AST0054,SEC007,Lucknow,11.0,S&T,Point Machine,2019-05-27,2026-08-09
AST0055,SEC007,Lucknow,6.6,Engineering,Fish Plate Joint,2011-06-09,2026-08-06
AST0056,SEC007,Lucknow,14.8,Engineering,Points & Crossing,2021-11-27,2026-08-06
AST0057,SEC007,Lucknow,29.5,TRD,Feeder Cable,2008-05-06,2026-07-06
AST0058,SEC007,Lucknow,7.0,TRD,Feeder Cable,2018-12-26,2026-08-09
AST0059,SEC007,Lucknow,21.2,S&T,Axle Counter,2021-07-19,2026-08-24
AST0060,SEC008,Lucknow,63.5,S&T,Signal Post,2005-09-22,2026-07-29
AST0061,SEC008,Lucknow,51.1,TRD,Insulator String,2007-06-20,2026-07-20
AST0062,SEC008,Lucknow,63.9,S&T,Signal Post,2014-05-22,2026-07-30
AST0063,SEC008,Lucknow,52.5,S&T,Track Circuit,2014-03-07,2026-07-27
AST0064,SEC008,Lucknow,62.4,S&T,Axle Counter,2010-10-10,2026-07-23
AST0065,SEC008,Lucknow,68.0,S&T,Level Crossing Gate,2014-04-14,2026-08-13
AST0066,SEC008,Lucknow,54.7,TRD,Feeder Cable,2019-04-17,2026-07-19
AST0067,SEC009,Moradabad,40.5,TRD,Insulator String,2014-11-21,2026-07-30
AST0068,SEC009,Moradabad,26.3,TRD,Feeder Cable,2012-05-08,2026-07-19
AST0069,SEC009,Moradabad,24.6,Engineering,Fish Plate Joint,2012-10-28,2026-08-01
AST0070,SEC009,Moradabad,34.4,Engineering,Bridge Girder,2011-12-13,2026-07-17
AST0071,SEC009,Moradabad,30.1,S&T,Axle Counter,2005-02-25,2026-07-05
AST0072,SEC009,Moradabad,28.4,S&T,Point Machine,2021-01-18,2026-08-02
AST0073,SEC009,Moradabad,35.4,Engineering,Rail Panel,2019-09-18,2026-07-20
AST0074,SEC009,Moradabad,47.8,TRD,Feeder Cable,2019-12-17,2026-07-23
AST0075,SEC009,Moradabad,35.1,S&T,Level Crossing Gate,2010-08-15,2026-07-15
AST0076,SEC010,Moradabad,60.5,Engineering,Points & Crossing,2021-11-08,2026-07-31
AST0077,SEC010,Moradabad,38.5,S&T,Axle Counter,2014-05-11,2026-08-16
AST0078,SEC010,Moradabad,38.6,S&T,Level Crossing Gate,2009-07-23,2026-08-17
AST0079,SEC010,Moradabad,38.1,Engineering,Fish Plate Joint,2018-09-15,2026-08-10
AST0080,SEC010,Moradabad,42.6,S&T,Signal Post,2018-10-23,2026-08-07
AST0081,SEC010,Moradabad,51.3,Engineering,Bridge Girder,2016-07-28,2026-08-12
AST0082,SEC010,Moradabad,59.9,S&T,Level Crossing Gate,2022-10-08,2026-07-11
AST0083,SEC010,Moradabad,44.7,S&T,Point Machine,2020-07-11,2026-08-30
AST0084,SEC011,Ferozepur,39.0,TRD,Insulator String,2009-09-01,2026-07-23
AST0085,SEC011,Ferozepur,32.1,S&T,Level Crossing Gate,2005-11-14,2026-08-26
AST0086,SEC011,Ferozepur,22.5,Engineering,Bridge Girder,2013-06-07,2026-08-07
AST0087,SEC011,Ferozepur,26.4,S&T,Track Circuit,2017-07-09,2026-08-14
AST0088,SEC011,Ferozepur,18.5,Engineering,Bridge Girder,2022-06-08,2026-08-28
AST0089,SEC011,Ferozepur,37.5,TRD,OHE Mast,2006-01-08,2026-07-14
AST0090,SEC011,Ferozepur,33.5,Engineering,Rail Panel,2012-08-22,2026-08-23
AST0091,SEC011,Ferozepur,29.6,Engineering,Fish Plate Joint,2013-06-06,2026-07-13
AST0092,SEC011,Ferozepur,37.4,TRD,OHE Mast,2010-02-19,2026-08-12
AST0093,SEC012,Lucknow,69.6,S&T,Level Crossing Gate,2017-12-07,2026-08-06
AST0094,SEC012,Lucknow,35.1,Engineering,Fish Plate Joint,2014-11-20,2026-07-08
AST0095,SEC012,Lucknow,49.8,Engineering,Rail Panel,2018-06-03,2026-07-20
AST0096,SEC012,Lucknow,29.8,TRD,Feeder Cable,2018-08-04,2026-07-10
AST0097,SEC012,Lucknow,67.1,S&T,Track Circuit,2019-03-14,2026-07-17
AST0098,SEC012,Lucknow,66.0,Engineering,Points & Crossing,2022-08-15,2026-07-13
